light presence light_on hour week_day month month_day
44.167 1 0 23 6 6 25
43.333 1 0 23 6 6 25
43.333 1 0 23 6 6 25
43.333 1 0 23 6 6 25
24.167 1 0 15 0 6 26
21.667 1 0 15 0 6 26
21.667 1 0 15 0 6 26
21.667 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20.833 1 0 15 0 6 26
21.667 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20.833 1 0 15 0 6 26
20 1 0 15 0 6 26
20 1 0 15 0 6 26
19.167 1 0 15 0 6 26
19.167 1 0 15 0 6 26
18.333 0 0 15 0 6 26
18.333 1 0 15 0 6 26
18.333 0 0 15 0 6 26
17.5 1 0 15 0 6 26
18.333 1 0 15 0 6 26
17.5 1 0 15 0 6 26
17.5 1 0 15 0 6 26
17.5 1 0 15 0 6 26
17.5 1 0 16 0 6 26
80 1 0 16 0 6 26
78.333 1 0 16 0 6 26
75.833 1 0 16 0 6 26
76.667 1 0 16 0 6 26
78.333 1 0 16 0 6 26
80.833 1 0 16 0 6 26
80.833 1 0 16 0 6 26
83.333 1 0 16 0 6 26
83.333 1 0 16 0 6 26
84.167 1 0 16 0 6 26
81.667 1 0 16 0 6 26
80 1 0 16 0 6 26
79.167 1 0 16 0 6 26
77.5 1 0 16 0 6 26
75 1 0 16 0 6 26
74.167 1 0 16 0 6 26
70.833 1 0 16 0 6 26
70 1 0 16 0 6 26
68.333 1 0 16 0 6 26
68.333 1 0 16 0 6 26
66.667 1 0 16 0 6 26
64.167 1 0 16 0 6 26
63.333 1 0 16 0 6 26
60.833 1 0 16 0 6 26
59.167 1 0 16 0 6 26
56.667 1 0 16 0 6 26
38.333 1 0 16 0 6 26
25.833 1 0 16 0 6 26
33.333 1 0 16 0 6 26
31.667 1 0 16 0 6 26
30 1 0 16 0 6 26
32.5 1 0 16 0 6 26
29.167 1 0 16 0 6 26
28.333 1 0 16 0 6 26
29.167 1 0 16 0 6 26
28.333 1 0 16 0 6 26
26.667 1 0 16 0 6 26
25.833 1 0 16 0 6 26
26.667 1 0 16 0 6 26
25.833 1 0 16 0 6 26
25.833 1 0 16 0 6 26
25 1 0 16 0 6 26
25 1 0 16 0 6 26
24.167 1 0 16 0 6 26
23.333 1 0 16 0 6 26
22.5 1 0 16 0 6 26
21.667 1 0 16 0 6 26
20.833 1 0 16 0 6 26
20.833 1 0 16 0 6 26
11.667 1 0 16 0 6 26
18.333 1 0 16 0 6 26
19.167 1 0 16 0 6 26
18.333 1 0 16 0 6 26
18.333 1 0 16 0 6 26
17.5 1 0 16 0 6 26
16.667 1 0 16 0 6 26
15.833 1 0 16 0 6 26
15.833 1 1 16 0 6 26
50 1 1 16 0 6 26
60.833 1 1 17 0 6 26
61.667 1 1 17 0 6 26
60.833 1 1 17 0 6 26
60 1 1 17 0 6 26
58.333 1 1 17 0 6 26
57.5 1 1 17 0 6 26
56.667 1 1 17 0 6 26
55 1 1 17 0 6 26
54.167 1 1 17 0 6 26
54.167 1 1 17 0 6 26
